1	0	</w>	</w>
1	0	'	'
1	0	-	-
1	0	<sil>	l	7.83456
1	0	<sil>	z	9.10307
1	0	<sil>	o	7.21013
1	0	<sil>	n	6.94359
1	0	<sil>	q	12.6866
1	0	<sil>	p	8.49693
1	0	<sil>	s	7.60519
1	0	<sil>	r	7.81906
1	0	<sil>	u	6.478
1	0	<sil>	t	7.43957
1	0	<sil>	w	8.0422
1	0	<sil>	v	9.31929
1	0	<sil>	y	8.7163
1	0	<sil>	x	11.588
1	0	<sil>	m	7.0518
1	0	<sil>	j	8.38252
1	0	<sil>	k	7.3253
1	0	<sil>	h	7.26605
1	0	<sil>	i	6.37667
1	0	<sil>	f	8.4819
1	0	<sil>	g	8.29214
1	0	<sil>	d	8.49693
1	0	<sil>	e	6.45218
1	0	<sil>	b	8.14329
1	0	<sil>	c	7.8424
1	0	<sil>	a	6.16156
1	0	<sil>	<sil>	0.015328
1	0	:	:
1	0	_	_
1	0	a	x	9.61795
1	0	a	y	7.20005
1	0	a	z	8.74712
1	0	a	s	6.89155
1	0	a	i	5.12994
1	0	a	w	7.78093
1	0	a	a	0.0466786
1	0	a	p	7.78093
1	0	a	b	8.0775
1	0	a	q	11.8152
1	0	a	j	8.95297
1	0	a	h	5.96153
1	0	a	v	8.67968
1	0	a	o	4.91193
1	0	a	n	6.60024
1	0	a	c	7.78982
1	0	a	k	7.26657
1	0	a	t	6.78801
1	0	a	g	7.96502
1	0	a	d	7.57385
1	0	a	e	4.57166
1	0	a	r	6.18755
1	0	a	m	6.60024
1	0	a	u	5.37184
1	0	a	<sil>	5.98182
1	0	a	l	7.32093
1	0	a	f	8.23165
1	0	c	u	4.84753
1	0	c	c	0.0939419
1	0	c	r	7.08824
1	0	c	n	5.65316
1	0	c	k	5.75324
1	0	c	z	8.00453
1	0	c	v	7.31139
1	0	c	h	6.50046
1	0	c	g	6.29978
1	0	c	d	7.31139
1	0	c	b	6.90592
1	0	c	p	6.39509
1	0	c	i	5.0088
1	0	c	w	7.31139
1	0	c	t	5.26369
1	0	c	f	7.08824
1	0	c	e	5.43958
1	0	c	s	4.38019
1	0	c	y	6.61824
1	0	c	j	6.05862
1	0	c	o	5.75324
1	0	c	a	4.7087
1	0	c	x	8.69768
1	0	c	l	7.31139
1	0	c	m	6.21277
1	0	c	<sil>	4.03424
1	0	b	<sil>	5.45656
1	0	b	y	6.00129
1	0	b	b	0.096771
1	0	b	u	5.731
1	0	b	a	5.77127
1	0	b	p	5.3796
1	0	b	i	6.45081
1	0	b	j	6.47821
1	0	b	w	5.16389
1	0	b	r	6.16991
1	0	b	s	5.24145
1	0	b	x	10.0617
1	0	b	e	5.50785
1	0	b	f	6.45081
1	0	b	l	5.75766
1	0	b	g	5.23342
1	0	b	t	5.2097
1	0	b	d	5.45656
1	0	b	m	5.24955
1	0	b	z	5.78506
1	0	b	o	6.14971
1	0	b	k	5.29956
1	0	b	h	5.0183
1	0	b	n	4.62801
1	0	b	v	6.11049
1	0	b	c	7.98229
1	0	e	j	7.63049
1	0	e	k	6.45519
1	0	e	m	4.99923
1	0	e	z	7.82155
1	0	e	g	7.26948
1	0	e	r	7.07711
1	0	e	l	6.95932
1	0	e	s	6.04749
1	0	e	n	5.89461
1	0	e	x	9.66737
1	0	e	e	0.0896521
1	0	e	c	7.3816
1	0	e	f	7.74556
1	0	e	o	4.78584
1	0	e	t	6.48932
1	0	e	w	7.11533
1	0	e	u	5.27293
1	0	e	i	4.20143
1	0	e	a	3.70251
1	0	e	y	5.94168
1	0	e	b	7.14165
